verbose,clip,nhid,epochs,seed,lr_patience,show_attention,reverse_src,log_interval,max_length,lr,teacher_force_prob,save,dropout,batch_size,bidirectional,data,lang,emb_size,nlayers,path_emb,use_word_emb,use_attention,cuda,debug,img_conditioning,model,train_word_emb,test_2016, test_2017
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/408/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.33, 3.87
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/406/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.35, 3.93
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/404/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.97, 3.55
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/403/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.5, 4.01
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/402/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.96, 3.53
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/400/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.03, 3.56
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/398/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.91, 3.46
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/431/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 4.22, 4.73
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/407/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.71, 4.34
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/401/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.47, 4.05
